id,name,year,pick,team,seasons,games,minutes,VORP,WS,WA,RWAR,VORP_top,WS_top,WA_top,RWAR_top,image
ellispe01,Pervis Ellison,1989,1,SAC,11,474,11593,4.50,21.90,19.94,9.61,5.60,19.20,18.24,11.47,false
ferryda01,Danny Ferry,1989,2,LAC,13,917,18133,4.90,34.70,14.24,12.08,5.30,22.70,13.54,12.03,false
elliose01,Sean Elliott,1989,3,SAS,12,742,24502,13.50,55.60,38.44,35.68,11.30,39.70,31.43,29.56,false
ricegl01,Glen Rice,1989,4,MIA,15,1000,34985,24.80,88.70,65.94,70.30,16.40,49.30,41.99,43.61,false
reidjr01,J.R. Reid,1989,5,CHH,11,672,15370,-3.60,22.50,5.81,-3.94,0.50,14.90,4.85,1.82,false
kingst01,Stacey King,1989,6,CHI,8,438,7406,-2.60,10.90,0.35,-3.96,-0.90,11.00,1.42,-1.00,false
mccloge01,George McCloud,1989,7,IND,12,766,17429,5.40,24.70,9.44,16.19,5.80,18.70,11.95,16.08,true
whitera01,Randy White,1989,8,DAL,5,281,5382,-4.00,1.90,-0.08,-1.86,-4.00,1.90,-0.08,-1.86,false
hammoto01,Tom Hammonds,1989,9,WSB,12,687,10419,-4.70,14.80,-0.41,-7.88,-0.30,10.70,1.56,-0.71,false
richapo01,Pooh Richardson,1989,10,MIN,10,639,19399,10.40,26.80,27.63,31.95,10.20,22.20,23.07,26.98,false
anderni01,Nick Anderson,1989,11,ORL,13,800,24922,24.70,55.30,64.46,63.03,16.90,36.30,44.64,42.71,true
blaylmo01,Mookie Blaylock,1989,12,NJN,13,889,31026,39.40,71.80,110.06,108.88,27.10,48.10,73.99,69.12,true
smithmi01,Michael Smith,1989,13,BOS,3,141,1328,-0.60,1.30,-0.39,-1.15,-0.40,1.30,-0.13,-0.67,false
hardati01,Tim Hardaway,1989,14,GSW,13,867,30626,39.80,85.00,107.80,98.20,25.00,51.20,70.72,62.73,false
lichtto01,Todd Lichti,1989,15,DEN,5,237,4240,-0.50,5.50,1.04,0.99,-0.50,5.50,1.04,0.99,false
barroda01,Dana Barros,1989,16,SEA,14,850,19480,18.20,49.70,32.03,36.05,12.90,32.20,24.31,28.54,false
kempsh01,Shawn Kemp,1989,17,SEA,14,1051,29293,19.50,89.40,100.48,55.57,14.80,52.60,62.28,39.43,true
armstbj01,B.J. Armstrong,1989,18,CHI,11,747,17790,8.00,45.10,28.05,20.18,7.50,34.70,24.66,19.53,false
payneke01,Kenny Payne,1989,19,PHI,4,144,1167,-0.90,-0.10,-0.19,-1.34,-0.90,-0.10,-0.19,-1.34,false
sandeje01,Jeff Sanders,1989,20,CHI,4,55,462,-0.60,-0.20,0.38,-0.80,-0.60,-0.20,0.38,-0.80,false
edwarbl01,Blue Edwards,1989,21,UTA,10,704,18409,1.90,24.20,14.69,14.07,3.30,18.70,13.63,13.15,false
irvinby01,Byron Irvin,1989,22,POR,3,87,849,0.60,2.10,0.99,1.30,0.60,2.10,0.99,1.30,false
marblro01,Roy Marble,1989,23,ATL,2,29,194,-0.30,-0.50,0.17,-0.65,-0.30,-0.50,0.17,-0.65,false
