id,name,year,pick,team,seasons,games,minutes,VORP,WS,WA,RWAR,VORP_top,WS_top,WA_top,RWAR_top,image
cookan01,Anthony Cook,1989,24,PHO,4,116,1499,-0.70,1.10,0.70,-0.61,-0.10,1.10,0.70,0.13,false
mortojo01,John Morton,1989,25,CLE,3,128,1879,-0.50,0.50,0.26,0.00,-0.50,0.50,0.26,0.00,false
divacvl01,Vlade Divac,1989,26,LAL,16,1134,33838,36.20,96.30,118.71,78.94,16.10,39.90,54.24,36.87,true
battlke01,Kenny Battle,1989,27,DET,4,134,1795,0.80,3.60,1.29,1.48,0.80,3.60,1.29,1.48,false
douglsh01,Sherman Douglas,1989,28,MIA,12,765,21148,9.20,32.90,27.07,25.82,8.50,22.60,20.99,20.30,true
nixdy01,Dyron Nix,1989,29,CHH,1,20,109,-0.10,0.00,0.13,-0.21,-0.10,0.00,0.13,-0.21,false
kornefr01,Frank Kornet,1989,30,MIL,2,89,595,-0.60,-0.10,-0.13,-1.07,-0.60,-0.10,-0.13,-1.07,false
martije01,Jeff Martin,1989,31,LAC,2,143,2685,-0.80,2.20,-1.01,-1.10,-0.80,2.20,-1.01,-1.10,false
brundst01,Stanley Brundy,1989,32,NJN,1,16,128,0.00,0.20,0.17,0.10,0.00,0.20,0.17,0.10,false
edwarja02,Jay Edwards,1989,33,LAC,1,4,26,0.00,0.00,0.04,0.01,0.00,0.00,0.04,0.01,false
leonaga01,Gary Leonard,1989,34,MIN,3,31,149,-0.20,0.10,0.20,-0.17,-0.20,0.10,0.20,-0.17,false
durhapa01,Pat Durham,1989,35,DAL,2,64,930,0.00,0.70,0.68,0.40,0.00,0.70,0.68,0.40,false
robincl02,Clifford Robinson,1989,36,POR,18,1380,42561,26.60,89.60,78.44,64.89,15.10,40.90,40.20,37.03,false
anslemi01,Michael Ansley,1989,37,ORL,3,149,2143,0.50,6.40,2.41,4.05,0.50,6.40,2.41,4.05,false
westdo01,Doug West,1989,38,MIN,12,676,16649,-4.20,17.80,4.40,1.93,0.50,15.00,5.49,5.98,false
hortoed01,Ed Horton,1989,39,WSB,1,45,374,-0.30,0.40,-0.01,-0.13,-0.30,0.40,-0.01,-0.13,false
radjadi01,Dino Radja,1989,40,BOS,4,224,7308,3.00,14.20,13.24,6.26,3.00,14.20,13.24,6.26,false
rothdo01,Doug Roth,1989,41,WSB,1,42,412,-0.30,0.40,0.07,-0.24,-0.30,0.40,0.07,-0.24,false
cutrimi01,Michael Cutright,1989,42,DEN,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
brownch01,Chucky Brown,1989,43,CLE,13,694,11962,-2.00,19.00,3.53,-2.01,0.30,12.30,4.05,1.06,false
crossre01,Reggie Cross,1989,44,PHI,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
haffnsc01,Scott Haffner,1989,45,MIA,2,50,609,-0.40,-0.20,-0.15,-0.84,-0.40,-0.20,-0.15,-0.84,false
blantri01,Ricky Blanton,1989,46,PHO,1,2,13,0.00,0.00,0.02,0.06,0.00,0.00,0.02,0.06,false
turnere01,Reggie Turner,1989,47,DEN,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
lewisju01,Junie Lewis,1989,48,UTA,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
workmha01,Haywoode Workman,1989,49,ATL,8,359,7202,2.40,10.70,10.33,10.04,2.40,10.20,10.09,9.63,false
quinnbr01,Brian Quinnett,1989,50,NYK,3,138,1530,-0.60,0.80,-0.34,-0.96,-0.60,0.80,-0.34,-0.96,false
morrimi01,Mike Morrison,1989,51,PHO,1,36,153,-0.30,-0.30,0.06,-0.72,-0.30,-0.30,0.06,-0.72,false
grantgr01,Greg Grant,1989,52,PHO,6,274,3350,-0.80,1.50,0.50,0.37,0.00,1.60,0.95,0.90,false
hodgeje01,Jeff Hodge,1989,53,DAL,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
mackto01,Toney Mack,1989,54,PHI,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
colemde01,Derrick Coleman,1990,1,NJN,15,781,25903,22.30,64.20,60.16,35.90,15.10,37.60,39.08,25.43,true
paytoga01,Gary Payton,1990,2,SEA,17,1335,47117,62.40,145.50,39.20,157.00,30.20,63.60,36.44,73.55,true
abdulma02,Mahmoud Abdul-Rauf,1990,3,DEN,9,586,15628,4.60,25.10,14.47,12.24,6.90,25.10,16.15,16.88,false
scottde01,Dennis Scott,1990,4,ORL,10,629,17983,9.70,33.40,26.50,28.09,8.80,25.00,22.37,24.87,false
gillke01,Kendall Gill,1990,5,CHH,15,966,29481,15.80,48.00,49.74,44.58,11.50,30.70,34.08,30.47,true
spencfe01,Felton Spencer,1990,6,MIN,12,640,12298,-7.10,21.10,12.37,0.11,-0.80,16.70,10.38,3.22,false
simmoli01,Lionel Simmons,1990,7,SAC,7,454,13472,6.60,16.90,17.00,13.78,6.70,15.70,16.90,14.28,false
kimblbo01,Bo Kimble,1990,8,LAC,3,105,1336,-1.20,0.10,-0.69,-1.53,-1.20,0.10,-0.69,-1.53,false
burtowi01,Willie Burton,1990,9,MIA,8,316,6666,-0.80,9.00,1.51,1.05,0.60,8.80,2.10,2.01,false
robinru01,Rumeal Robinson,1990,10,ATL,6,336,6098,0.90,5.10,5.93,3.75,1.60,5.80,6.39,4.82,false
hillty01,Tyrone Hill,1990,11,GSW,14,801,22388,0.70,56.20,43.82,23.27,4.10,33.70,31.12,20.56,false
kesslal01,Alec Kessler,1990,12,HOU,4,210,2937,-2.80,2.00,-1.54,-4.44,-2.80,2.00,-1.54,-4.44,false
vaughlo01,Loy Vaught,1990,13,LAC,11,689,16993,2.10,35.60,11.72,13.22,3.10,27.80,13.07,13.07,false
maystr01,Travis Mays,1990,14,SAC,3,115,2964,-0.50,2.40,0.51,0.22,-0.50,2.40,0.51,0.22,false
jamerda01,Dave Jamerson,1990,15,MIA,3,90,594,-0.30,0.20,0.13,-0.24,-0.30,0.20,0.13,-0.24,false
millste01,Terry Mills,1990,16,MIL,11,678,16422,5.80,33.40,24.43,14.73,6.20,24.00,20.96,13.52,true
mustaje01,Jerrod Mustaf,1990,17,NYK,4,179,1902,-0.90,1.70,0.07,-2.08,-0.90,1.70,0.07,-2.08,false
causwdu01,Duane Causwell,1990,18,SAC,11,541,9409,-0.70,15.80,10.33,2.04,0.80,12.70,9.89,3.91,false
brownde01,Dee Brown,1990,19,BOS,12,608,16843,11.60,33.40,31.04,33.47,10.20,26.50,25.26,27.86,false
glassge01,Gerald Glass,1990,20,MIN,4,201,3347,0.20,1.80,0.52,0.17,0.30,1.80,0.61,0.38,false
willija01,Jayson Williams,1990,21,PHO,9,475,9805,-2.10,20.00,12.72,8.84,1.30,18.30,13.25,11.15,false
georgta01,Tate George,1990,22,NJN,4,177,2019,-0.70,1.40,-0.27,-1.45,-0.70,1.40,-0.27,-1.45,false
bonnean01,Anthony Bonner,1990,23,SAC,6,318,7372,0.10,10.60,2.61,5.07,0.90,10.60,3.85,5.61,false
schindw01,Dwayne Schintzius,1990,24,SAS,8,217,1950,-1.40,0.90,0.93,-2.58,-0.40,1.20,0.90,-0.52,false
abdelal01,Alaa Abdelnaby,1990,25,POR,5,256,3200,-1.40,4.80,0.05,-1.11,-1.40,4.80,0.05,-1.11,false
blankla01,Lance Blanks,1990,26,DET,3,142,1045,-0.30,0.70,0.27,-0.10,-0.30,0.70,0.27,-0.10,false
campbel01,Elden Campbell,1990,27,LAL,15,1044,25776,9.60,62.80,53.98,22.79,7.30,34.70,33.54,16.45,true
jepsele01,Les Jepsen,1990,28,GSW,2,52,192,-0.30,0.10,0.23,-0.30,-0.30,0.10,0.23,-0.30,false
kukocto01,Toni Kukoč,1990,29,CHI,13,846,22212,27.40,59.80,61.99,51.50,16.10,38.70,39.39,35.80,true
herreca01,Carl Herrera,1990,30,MIA,8,465,8042,-3.30,8.90,-0.31,-4.63,-0.90,9.30,1.75,-0.47,false
knighne01,Negele Knight,1990,31,PHO,6,276,4513,-1.10,4.10,-0.56,-1.67,0.10,4.40,0.76,0.67,false
olivebr01,Brian Oliver,1990,32,PHI,4,118,1182,-1.10,-0.50,-0.40,-1.85,0.00,0.20,0.15,-0.12,false
palmewa01,Walter Palmer,1990,33,UTA,2,48,209,-0.20,-0.10,0.27,-0.39,-0.20,-0.10,0.27,-0.39,false
pritcke01,Kevin Pritchard,1990,34,GSW,4,94,1125,-0.50,0.40,-0.30,-1.29,0.10,0.60,0.39,0.04,false
fostegr01,Greg Foster,1990,35,WSB,13,656,7974,-7.10,5.50,-7.70,-12.24,-1.20,4.50,0.19,-1.38,false
wilsotr01,Trevor Wilson,1990,36,ATL,4,103,1609,-0.60,0.80,-0.25,-1.57,-0.20,1.30,0.39,-0.59,false
engliaj01,A.J. English,1990,37,WSB,2,151,3108,-1.50,1.10,-2.08,-2.60,-1.50,1.10,-2.08,-2.60,false
buechju01,Jud Buechler,1990,38,SEA,12,720,8444,4.10,16.50,6.20,9.90,3.20,10.40,5.27,7.46,false
schefst01,Steve Scheffler,1990,39,CHH,7,174,918,-0.10,3.00,1.10,0.36,0.10,2.70,0.97,0.59,false
colesbi01,Bimbo Coles,1990,40,SAC,14,852,20319,2.00,27.50,17.71,15.70,4.70,19.70,14.44,15.04,false
bardost01,Steve Bardo,1990,41,ATL,3,33,299,-0.10,-0.10,0.35,-0.18,-0.10,-0.10,0.35,-0.18,false
liberma01,Marcus Liberty,1990,42,DEN,4,267,4568,-0.70,4.00,0.19,1.31,-0.70,4.00,0.19,1.31,false
masseto01,Tony Massenburg,1990,43,SAS,13,683,12291,-7.70,15.50,-0.52,-10.53,-0.30,10.00,4.31,0.13,false
hensost01,Steve Henson,1990,44,MIL,7,238,2282,0.10,3.60,1.53,0.83,0.20,3.60,1.47,1.23,false
davisan01,Antonio Davis,1990,45,IND,13,903,26084,4.50,59.60,46.80,19.62,4.00,33.20,30.07,13.79,false
willike03,Kenny Williams,1990,46,IND,4,260,2918,1.40,7.40,3.75,4.47,1.40,7.40,3.75,4.47,false
stronde01,Derek Strong,1990,47,PHI,10,456,8548,-0.40,18.50,7.60,1.96,0.60,14.90,6.35,2.70,false
cebalce01,Cedric Ceballos,1990,48,PHO,11,609,14712,10.10,40.20,23.34,27.03,9.20,30.70,20.64,23.79,false
hendeph01,Phil Henderson,1990,49,DAL,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
babicmi01,Miloš Babić,1990,50,PHO,2,21,87,-0.10,-0.10,0.12,-0.23,-0.10,-0.10,0.12,-0.23,false
smithto02,Tony Smith,1990,51,LAL,9,457,7295,0.00,6.70,2.42,1.53,0.70,6.40,2.80,2.51,false
ruscost01,Stefano Rusconi,1990,52,CLE,1,7,30,-0.10,-0.10,0.04,-0.13,-0.10,-0.10,0.04,-0.13,false
shamsab01,Abdul Shamsid-Deen,1990,53,SEA,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
higgise01,Sean Higgins,1990,54,SAS,6,220,3334,-2.30,0.50,-2.28,-3.07,-0.60,0.70,-0.38,-0.27,false
johnsla02,Larry Johnson,1991,1,CHH,10,707,25685,22.00,69.70,58.17,45.06,15.40,44.80,36.57,31.86,false
anderke01,Kenny Anderson,1991,2,NJN,14,858,25868,21.90,62.30,65.68,56.58,17.40,41.70,46.94,43.17,false
owensbi01,Billy Owens,1991,3,SAC,10,600,17619,7.80,28.60,22.75,16.24,6.50,21.40,17.63,15.12,false
mutomdi01,Dikembe Mutombo,1991,4,DEN,18,1196,36791,33.80,117.00,145.42,77.58,16.80,51.00,72.42,39.28,true
smithst01,Steve Smith,1991,5,MIA,14,942,28855,24.60,83.70,58.64,55.51,14.90,46.00,36.97,37.84,true
smithdo03,Doug Smith,1991,6,DAL,5,296,5833,-2.40,3.00,1.66,-1.73,-2.40,3.00,1.66,-1.73,false
longllu01,Luc Longley,1991,7,MIN,10,567,12006,-1.90,17.50,13.58,-1.86,0.80,14.00,12.48,2.65,false
maconma01,Mark Macon,1991,8,DEN,6,251,5018,-2.30,0.10,-0.01,1.03,0.10,1.50,1.04,1.82,false
augmost01,Stacey Augmon,1991,9,ATL,15,1001,21658,9.80,43.80,33.38,28.09,7.90,27.80,22.84,20.08,false
delebi01,Bison Dele,1991,10,ORL,8,413,10004,3.50,22.60,14.57,9.93,3.60,20.30,13.27,9.58,true
brandte01,Terrell Brandon,1991,11,CLE,11,724,21545,30.10,65.90,63.48,65.38,22.20,46.20,45.72,48.08,true
anthogr01,Greg Anthony,1991,12,NYK,11,757,15850,13.30,35.80,32.56,35.40,9.20,22.50,23.87,25.31,false
davisda01,Dale Davis,1991,13,IND,16,1094,29606,18.30,86.70,73.72,53.99,9.00,36.60,35.75,26.37,true
kingri01,Rich King,1991,14,SEA,4,72,309,-0.30,0.20,0.28,-0.70,-0.30,0.20,0.28,-0.70,false
aventan01,Anthony Avent,1991,15,ATL,6,352,6729,-6.30,0.40,-3.87,-9.36,-0.10,2.20,0.27,-0.18,false
gatlich01,Chris Gatling,1991,16,GSW,11,700,13760,3.20,32.10,16.03,8.01,3.50,20.90,11.75,8.87,false
alexavi01,Victor Alexander,1991,17,GSW,5,286,5755,-0.30,8.80,3.54,-1.43,0.20,8.90,3.54,0.00,false
brookke01,Kevin Brooks,1991,18,MIL,3,126,1031,-1.00,-0.10,-0.53,-1.78,-1.00,-0.10,-0.53,-1.78,false
smithla02,LaBradford Smith,1991,19,WSB,3,183,3131,-1.20,1.50,-0.33,-0.31,-1.20,1.50,-0.33,-0.31,false
turnejo01,John Turner,1991,20,HOU,1,42,345,-0.50,-0.10,-0.39,-0.84,-0.50,-0.10,-0.39,-0.84,false
murdoer01,Eric Murdock,1991,21,UTA,9,508,11882,11.90,25.60,25.78,31.37,11.50,24.20,23.48,30.04,false
ellisle02,LeRon Ellis,1991,22,LAC,3,91,857,-0.30,1.30,0.84,-0.24,-0.30,1.30,0.84,-0.24,false
roberst01,Stanley Roberts,1991,23,ORL,8,300,5869,-2.00,8.10,9.31,-1.58,0.00,8.30,8.96,1.09,false
foxri01,Rick Fox,1991,24,BOS,13,930,23723,11.80,44.80,41.09,42.90,8.20,25.00,28.66,26.96,false
vandish01,Shaun Vandiver,1991,25,GSW,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
randama01,Mark Randall,1991,26,CHI,4,127,883,-0.30,1.00,0.40,-0.11,-0.30,1.00,0.40,-0.11,false
chilcpe01,Pete Chilcutt,1991,27,SAC,9,584,8394,0.20,10.70,4.18,1.72,0.80,8.10,4.64,2.93,false
lynchke01,Kevin Lynch,1991,28,CHH,2,95,1143,-0.70,0.40,-0.50,-1.06,-0.70,0.40,-0.50,-1.06,false
acklege01,George Ackles,1991,29,MIA,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
monroro01,Rodney Monroe,1991,30,ATL,1,38,313,-0.30,-0.20,-0.13,-0.50,-0.30,-0.20,-0.13,-0.50,false
brownra02,Randy Brown,1991,31,SAC,12,655,11533,0.10,11.20,5.26,7.70,1.90,9.20,6.36,8.08,false
gallach01,Chad Gallagher,1991,32,PHO,1,2,3,0.00,0.10,0.00,0.05,0.00,0.10,0.00,0.05,false
hodgedo01,Donald Hodge,1991,33,DAL,5,249,3501,-1.90,1.80,-0.56,-4.07,-1.90,1.80,-0.56,-4.07,false
brownmy01,Myron Brown,1991,34,MIN,1,4,23,0.00,0.00,0.04,0.00,0.00,0.00,0.04,0.00,false
iuzzomi01,Mike Iuzzolino,1991,35,DAL,2,122,3049,0.10,3.70,1.00,1.61,0.10,3.70,1.00,1.61,false
corchch01,Chris Corchiani,1991,36,ORL,3,112,1313,0.10,1.60,1.24,0.79,0.10,1.60,1.24,0.79,false
perryel01,Elliot Perry,1991,37,LAC,10,549,9501,3.60,14.00,11.24,11.36,4.20,13.70,12.21,11.85,false
wyliejo01,Joe Wylie,1991,38,LAC,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
oliveji01,Jimmy Oliver,1991,39,CLE,5,78,856,-0.60,0.30,-0.02,-0.77,0.00,0.40,0.17,-0.01,false
overtdo01,Doug Overton,1991,40,DET,11,499,7275,-3.60,2.50,0.44,-4.40,-0.60,3.80,1.90,-0.26,false
greense01,Sean Green,1991,41,IND,3,84,671,-0.90,-1.40,-0.19,-0.57,-0.90,-1.40,-0.19,-0.57,false
hoodst01,Steve Hood,1991,42,SAC,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
strotla01,Lamont Strothers,1991,43,GSW,2,13,155,-0.20,-0.50,0.16,-0.33,-0.20,-0.50,0.16,-0.33,false
teheral01,Alvaro Teheran,1991,44,PHI,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
phillbo01,Bobby Phills,1991,45,MIL,9,467,13426,7.40,27.10,28.74,24.05,6.70,22.80,25.67,20.59,false
dumasri02,Richard Dumas,1991,46,PHO,3,102,2226,1.00,4.50,3.50,3.88,1.00,4.50,3.50,3.88,false
hugheke02,Keith Hughes,1991,47,HOU,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
austiis01,Isaac Austin,1991,48,UTA,9,432,8350,-1.10,9.10,3.08,-3.35,0.60,9.40,3.75,1.35,false
suttogr01,Greg Sutton,1991,49,SAS,3,168,1946,-0.90,0.90,0.18,-0.51,-0.90,0.90,0.18,-0.51,false
wrighjo02,Joey Wright,1991,50,PHO,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
tabakza01,Žan Tabak,1991,51,HOU,6,247,3607,-2.70,2.40,0.51,-4.91,0.00,2.40,1.51,0.00,false
jonesan02,Anthony Jones,1991,52,LAL,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
mcdadvo01,Von McDade,1991,53,NJN,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
kennema01,Marcus Kennedy,1991,54,POR,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
onealsh01,Shaquille O'Neal,1992,1,ORL,19,1207,41918,75.40,181.60,231.84,148.35,35.10,77.60,102.68,70.59,true
mournal01,Alonzo Mourning,1992,2,CHH,15,838,25975,27.20,89.70,109.46,54.88,17.40,48.80,63.92,35.88,true
laettch01,Christian Laettner,1992,3,MIN,13,868,25760,19.40,64.90,54.62,33.27,12.30,38.10,39.61,22.48,false
jacksji01,Jim Jackson,1992,4,DAL,14,885,29067,8.20,35.90,16.09,14.08,7.40,24.50,16.47,14.58,true
ellisla01,LaPhonso Ellis,1992,5,DEN,11,624,17616,4.70,32.80,20.60,15.58,5.50,26.60,19.17,14.66,false
guglito01,Tom Gugliotta,1992,6,WSB,13,763,23556,15.20,40.30,37.89,29.33,11.70,27.60,25.44,23.77,false
williwa02,Walt Williams,1992,7,SAC,11,708,18818,11.90,34.00,31.29,27.39,9.90,23.70,25.99,20.90,true
dayto01,Todd Day,1992,8,MIL,8,483,12214,3.40,17.50,13.61,14.13,3.30,15.20,11.96,13.79,false
weathcl01,Clarence Weatherspoon,1992,9,PHI,13,915,27736,12.00,58.60,35.69,25.89,8.10,31.00,22.21,17.87,false
keefead01,Adam Keefe,1992,10,ATL,9,617,10334,1.60,24.90,11.66,6.65,2.80,20.80,12.01,8.36,false
horryro01,Robert Horry,1992,11,HOU,16,1107,27069,26.50,66.60,81.10,58.74,13.00,30.00,41.65,30.92,false
minerha01,Harold Miner,1992,12,MIA,4,200,3748,-0.90,4.20,-0.38,-2.48,-0.90,4.20,-0.38,-2.48,false
stithbr01,Bryant Stith,1992,13,DEN,10,586,16417,4.90,29.50,19.54,18.87,5.10,25.40,18.01,18.65,false
sealyma01,Malik Sealy,1992,14,IND,8,493,11720,2.30,17.10,12.95,11.89,2.70,15.20,12.89,11.22,false
peelean01,Anthony Peeler,1992,15,LAL,13,827,20464,6.70,31.00,11.83,22.08,4.40,18.20,11.16,13.77,true
woodsra01,Randy Woods,1992,16,LAC,4,151,1093,0.20,0.70,1.37,1.60,0.20,0.70,1.37,1.60,false
chrisdo01,Doug Christie,1992,17,SEA,15,827,26079,20.60,55.70,65.27,67.20,14.80,38.90,47.61,47.71,true
murratr01,Tracy Murray,1992,18,SAS,12,659,12103,5.80,24.20,12.11,15.76,6.60,21.80,12.43,16.32,false
macledo01,Don MacLean,1992,19,DET,9,319,6679,-0.90,9.30,3.48,-1.16,0.90,9.10,3.79,1.71,false
davishu01,Hubert Davis,1992,20,NYK,12,685,15143,4.30,27.70,2.89,8.89,5.20,20.50,6.15,10.09,true
barryjo01,Jon Barry,1992,21,BOS,14,821,13880,13.30,37.40,28.67,34.12,9.30,24.00,21.69,22.94,true
milleol01,Oliver Miller,1992,22,PHO,9,493,11338,7.20,21.30,20.98,13.32,6.90,17.40,18.40,12.60,false
maybele01,Lee Mayberry,1992,23,MIL,7,496,10337,-2.30,7.80,5.47,2.73,-0.70,7.50,6.36,3.97,false
sprewla01,Latrell Sprewell,1992,24,GSW,13,913,35270,21.00,56.30,61.53,58.46,14.20,33.90,40.85,35.35,false
spencel01,Elmore Spencer,1992,25,LAC,5,157,2641,-1.60,0.00,0.35,-4.93,-1.60,0.00,0.35,-4.93,false
johnsda01,Dave Johnson,1992,26,POR,2,59,475,-0.80,-0.30,-0.26,-1.27,-0.80,-0.30,-0.26,-1.27,false
houstby01,Byron Houston,1992,27,CHI,4,214,2674,-1.30,3.90,1.34,-0.07,-1.30,3.90,1.34,-0.07,false
maxeyma01,Marlon Maxey,1992,28,MIN,2,98,1146,-0.30,2.60,1.30,0.93,-0.30,2.60,1.30,0.93,false
brownpj01,P.J. Brown,1992,29,NJN,15,1089,33823,17.40,89.70,86.25,53.29,9.60,42.00,50.26,27.31,true
rooksse01,Sean Rooks,1992,30,DAL,12,749,13560,-3.20,16.30,6.36,-10.04,0.00,11.10,6.40,-0.13,false
smithre01,Reggie Smith,1992,31,POR,2,66,384,-0.30,0.40,0.20,-0.14,-0.30,0.40,0.20,-0.14,false
pricebr01,Brent Price,1992,32,WSB,9,418,7007,2.30,12.10,9.58,9.05,3.20,12.60,9.23,9.81,false
willico01,Corey Williams,1992,33,CHI,2,39,288,-0.20,0.20,0.06,-0.43,-0.20,0.20,0.06,-0.43,false
smithch03,Chris Smith,1992,34,MIN,3,224,3956,-0.30,3.20,0.42,0.67,-0.30,3.20,0.42,0.67,false
benneto01,Tony Bennett,1992,35,CHH,3,152,1886,-0.30,1.60,0.23,-0.10,-0.30,1.60,0.23,-0.10,false
coopedu01,Duane Cooper,1992,36,LAL,2,88,781,-0.80,-0.50,-0.49,-1.64,-0.80,-0.50,-0.49,-1.64,false
morriis01,Isaiah Morris,1992,37,MIA,1,25,102,-0.10,0.00,0.13,-0.21,-0.10,0.00,0.13,-0.21,false
benneel01,Elmer Bennett,1992,38,ATL,3,21,159,-0.20,-0.30,0.24,-0.05,-0.20,-0.30,0.24,-0.05,false
greenli01,Litterial Green,1992,39,CHI,5,148,1189,-0.20,1.60,1.65,0.04,0.00,1.70,1.65,0.49,false
rogerst01,Steve Rogers,1992,40,NJN,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
jonespo01,Popeye Jones,1992,41,HOU,11,535,12579,-2.00,22.00,12.91,10.20,0.20,19.40,11.20,9.93,false
geigema01,Matt Geiger,1992,42,MIA,10,552,12221,0.70,28.40,14.71,8.19,2.60,22.10,12.19,8.96,false
danilsa01,Sasha Danilović,1992,43,GSW,2,75,2331,0.80,4.30,2.68,1.62,0.80,4.30,2.68,1.62,false
willihe02,Henry Williams,1992,44,SAS,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
kingch01,Chris King,1992,45,SEA,3,103,2058,-0.40,1.00,-0.17,-0.45,-0.20,1.10,0.16,-0.30,false
werdaro01,Robert Werdann,1992,46,DEN,3,47,273,-0.20,0.10,0.36,-0.13,-0.20,0.10,0.36,-0.13,false
mornida01,Darren Morningstar,1992,47,BOS,1,23,367,-0.20,0.40,0.15,0.01,-0.20,0.40,0.15,0.01,false
davisbr02,Brian Davis,1992,48,PHO,1,68,374,-0.30,0.00,0.07,-0.31,-0.30,0.00,0.07,-0.31,false
ellisro01,Ron Ellis,1992,49,PHO,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
fishma01,Matt Fish,1992,50,GSW,3,50,512,-0.10,0.60,0.26,-0.33,-0.10,0.60,0.26,-0.33,false
burroti01,Tim Burroughs,1992,51,MIN,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
